ticker,n,accuracy,auc,brier,coverage_kappa,selective_accuracy,ablation_lambda0_auc,ablation_detached_auc,head_a_only_auc,constant_accuracy
SPY(test),669,0.5097159940209267,0.5067481697603237,0.25049699097045347,0.0,,0.498362181609895,0.4951223441387582,0.5199223154993109,0.5186846038863976
QQQ,3466,0.5533756491633006,0.504576972962187,0.2504802223029771,0.012406231967686093,0.4418604651162791,,,,
IWM,3466,0.5369301788805539,0.5197886507669689,0.25112715293617893,0.0051933064050779,0.4444444444444444,,,,
DIA,3466,0.5450086555106751,0.5199228223768732,0.2504793871360287,0.014714368147720716,0.47058823529411764,,,,
GLD,3466,0.5251009809578765,0.5076317159100008,0.25219262803833026,0.0037507212925562607,0.5384615384615384,,,,
TLT,3466,0.5274091171379112,0.5049504405286345,0.2531636569668515,0.007789959607616849,0.48148148148148145,,,,
